Imdb Rank,Title,Season,Episode,Type,Episode Rating,Episode Rating Count,Global Series Rating,Global Rating Count,Duration (min),Genres,Day,Month,Year
1,Breaking Bad,1,1,TV Series,9.0,42489,9.5,2106387,45.0,"Crime ,Drama ,Thriller",20.0,1.0,2008.0
1,Breaking Bad,4,4,TV Series,8.5,22808,9.5,2106387,45.0,"Crime ,Drama ,Thriller",7.0,8.0,2011.0
1,Breaking Bad,4,3,TV Series,8.0,24012,9.5,2106387,45.0,"Crime ,Drama ,Thriller",31.0,7.0,2011.0
1,Breaking Bad,4,2,TV Series,8.2,23671,9.5,2106387,45.0,"Crime ,Drama ,Thriller",24.0,7.0,2011.0
1,Breaking Bad,4,1,TV Series,9.2,28602,9.5,2106387,45.0,"Crime ,Drama ,Thriller",17.0,7.0,2011.0
1,Breaking Bad,5,5,TV Series,9.7,39873,9.5,2106387,45.0,"Crime ,Drama ,Thriller",12.0,8.0,2012.0
1,Breaking Bad,4,12,TV Series,9.5,30646,9.5,2106387,45.0,"Crime ,Drama ,Thriller",2.0,10.0,2011.0
1,Breaking Bad,2,11,TV Series,8.9,25146,9.5,2106387,45.0,"Crime ,Drama ,Thriller",17.0,5.0,2009.0
1,Breaking Bad,2,10,TV Series,8.4,24293,9.5,2106387,45.0,"Crime ,Drama ,Thriller",10.0,5.0,2009.0
1,Breaking Bad,2,9,TV Series,9.1,28380,9.5,2106387,45.0,"Crime ,Drama ,Thriller",3.0,5.0,2009.0
1,Breaking Bad,2,8,TV Series,9.2,29839,9.5,2106387,45.0,"Crime ,Drama ,Thriller",26.0,4.0,2009.0
1,Breaking Bad,2,7,TV Series,8.6,24916,9.5,2106387,45.0,"Crime ,Drama ,Thriller",19.0,4.0,2009.0
1,Breaking Bad,2,6,TV Series,8.8,27234,9.5,2106387,45.0,"Crime ,Drama ,Thriller",12.0,4.0,2009.0
1,Breaking Bad,2,5,TV Series,8.3,24760,9.5,2106387,45.0,"Crime ,Drama ,Thriller",5.0,4.0,2009.0
1,Breaking Bad,2,4,TV Series,8.2,25450,9.5,2106387,45.0,"Crime ,Drama ,Thriller",29.0,3.0,2009.0
1,Breaking Bad,2,3,TV Series,8.3,25350,9.5,2106387,45.0,"Crime ,Drama ,Thriller",22.0,3.0,2009.0
1,Breaking Bad,2,2,TV Series,9.3,30298,9.5,2106387,45.0,"Crime ,Drama ,Thriller",15.0,3.0,2009.0
1,Breaking Bad,3,4,TV Series,8.2,23454,9.5,2106387,45.0,"Crime ,Drama ,Thriller",11.0,4.0,2010.0
1,Breaking Bad,3,3,TV Series,8.4,23305,9.5,2106387,45.0,"Crime ,Drama ,Thriller",4.0,4.0,2010.0
1,Breaking Bad,3,2,TV Series,8.6,23475,9.5,2106387,45.0,"Crime ,Drama ,Thriller",28.0,3.0,2010.0
1,Breaking Bad,3,1,TV Series,8.5,24019,9.5,2106387,45.0,"Crime ,Drama ,Thriller",21.0,3.0,2010.0
1,Breaking Bad,2,13,TV Series,9.2,27788,9.5,2106387,45.0,"Crime ,Drama ,Thriller",31.0,5.0,2009.0
1,Breaking Bad,2,12,TV Series,9.3,28293,9.5,2106387,45.0,"Crime ,Drama ,Thriller",24.0,5.0,2009.0
1,Breaking Bad,5,14,TV Series,10.0,212444,9.5,2106387,45.0,"Crime ,Drama ,Thriller",15.0,9.0,2013.0
