currentRank,__typename,node.episodes.episodes.total,node.episodes.episodes.__typename,node.episodes.__typename,node.id,node.titleText.text,node.titleText.__typename,node.titleType.id,node.titleType.text,node.titleType.canHaveEpisodes,node.titleType.displayableProperty.value.plainText,node.titleType.displayableProperty.value.__typename,node.titleType.displayableProperty.__typename,node.titleType.__typename,node.originalTitleText.text,node.originalTitleText.__typename,node.primaryImage.id,node.primaryImage.width,node.primaryImage.height,node.primaryImage.url,node.primaryImage.caption.plainText,node.primaryImage.caption.__typename,node.primaryImage.__typename,node.releaseYear.year,node.releaseYear.endYear,node.releaseYear.__typename,node.ratingsSummary.aggregateRating,node.ratingsSummary.voteCount,node.ratingsSummary.__typename,node.runtime.seconds,node.runtime.__typename,node.certificate.rating,node.certificate.__typename,node.canRate.isRatable,node.canRate.__typename,node.titleGenres.genres,node.titleGenres.__typename,node.canHaveEpisodes,node.plot.plotText.plainText,node.plot.plotText.__typename,node.plot.__typename,node.latestTrailer.id,node.latestTrailer.__typename,node.series,node.__typename,node.latestTrailer,node.certificate
1,ChartTitleEdge,62,EpisodeConnection,Episodes,tt0903747,Breaking Bad,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Breaking Bad,TitleText,rm3116305665,2000,3000,https://m.media-amazon.com/images/M/MV5BYmQ4YWMxYjUtNjZmYi00MDQ1LWFjMjMtNjA5ZDdiYjdiODU5XkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg,Bryan Cranston in Breaking Bad (2008),Markdown,Image,2008,2013.0,YearRange,9.5,2106387,RatingsSummary,2700,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Crime', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Thriller', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,Markdown,Plot,vi547929369,Video,,Title,,
2,ChartTitleEdge,6,EpisodeConnection,Episodes,tt5491994,Planet Earth II,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Planet Earth II,TitleText,rm1474824705,1000,1426,https://m.media-amazon.com/images/M/MV5BMGZmYmQ5NGQtNWQ1MC00NWZlLTg0MjYtYjJjMzQ5ODgxYzRkXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,Planet Earth II (2016),Markdown,Image,2016,2016.0,YearRange,9.5,156311,RatingsSummary,17880,Runtime,TV-G,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,Markdown,Plot,vi2095757337,Video,,Title,,
3,ChartTitleEdge,11,EpisodeConnection,Episodes,tt0795176,Planet Earth,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Planet Earth,TitleText,rm1491601921,1000,1426,https://m.media-amazon.com/images/M/MV5BMzMyYjg0MGMtMTlkMy00OGFiLWFiNTYtYmFmZWNmMDFlMzkwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,Planet Earth (2006),Markdown,Image,2006,2006.0,YearRange,9.4,218687,RatingsSummary,32280,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Family', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.",Markdown,Plot,vi3299327257,Video,,Title,,
4,ChartTitleEdge,10,EpisodeConnection,Episodes,tt0185906,Band of Brothers,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Band of Brothers,TitleText,rm1833146624,485,744,https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3._V1_.jpg,"Donnie Wahlberg, Scott Grimes, Damian Lewis, Ron Livingston, Shane Taylor, and Peter Youngblood Hills in Band of Brothers (2001)",Markdown,Image,2001,2001.0,YearRange,9.4,518235,RatingsSummary,35640,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'History', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'War', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",Markdown,Plot,vi3993287961,Video,,Title,,
5,ChartTitleEdge,5,EpisodeConnection,Episodes,tt7366338,Chernobyl,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Chernobyl,TitleText,rm1992896001,1631,2250,https://m.media-amazon.com/images/M/MV5BNTdkN2QwMDItMDVhNS00ZjFiLWEzNTctMzY5ODQzYWNkMDllXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg,Chernobyl (2019),Markdown,Image,2019,2019.0,YearRange,9.3,851248,RatingsSummary,19800,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'History', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Thriller', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"This gripping mini-series tells the powerful story of the worst man-made accident in history, following the tragedy from the moment of the early-morning explosion through the chaos and loss of life in the ensuing days, weeks and months.",Markdown,Plot,vi3769613849,Video,,Title,,
6,ChartTitleEdge,60,EpisodeConnection,Episodes,tt0306414,The Wire,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,The Wire,TitleText,rm4207608320,1600,2400,https://m.media-amazon.com/images/M/MV5BZmY5ZDMxODEtNWIwOS00NjdkLTkyMjktNWRjMDhmYjJjN2RmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,"Idris Elba, Wood Harris, Sonja Sohn, and Dominic West in The Wire (2002)",Markdown,Image,2002,2008.0,YearRange,9.3,372513,RatingsSummary,3540,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Crime', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Thriller', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",Markdown,Plot,vi501988377,Video,,Title,,
7,ChartTitleEdge,62,EpisodeConnection,Episodes,tt0417299,Avatar: The Last Airbender,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,Avatar: The Last Airbender,TitleText,rm2799534337,679,1000,https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_.jpg,"Zach Tyler Eisen, Mae Whitman, and Jack De Sena in Avatar: The Last Airbender (2005)",Markdown,Image,2005,2008.0,YearRange,9.3,356635,RatingsSummary,1380,Runtime,TV-Y7-FV,Certificate,True,CanRate,"[{'genre': {'text': 'Animation', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Action', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Adventure', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",Markdown,Plot,vi752140569,Video,,Title,,
8,ChartTitleEdge,7,EpisodeConnection,Episodes,tt6769208,Blue Planet II,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Blue Planet II,TitleText,rm2177698305,1450,2175,https://m.media-amazon.com/images/M/MV5BNDZiNDllMTAtOTgxZi00NzNiLWFhNzUtOGUwZWZjZGNjZTMyXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,Blue Planet II (2017),Markdown,Image,2017,2017.0,YearRange,9.3,45730,RatingsSummary,21840,Runtime,TV-G,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",Markdown,Plot,vi3313810457,Video,,Title,,
9,ChartTitleEdge,86,EpisodeConnection,Episodes,tt0141842,The Sopranos,TitleText,tvSeries,TV Series,True,TV Series,Markdown,DisplayableTitleTypeProperty,TitleType,The Sopranos,TitleText,rm6253568,1000,1426,https://m.media-amazon.com/images/M/MV5BNmU3MjkzZWQtOTk1Ni00OTNiLWJhMmMtNmEyN2JjZjUzZDUyXkEyXkFqcGdeQXVyNDIyNjA2MTk@._V1_.jpg,"Lorraine Bracco, James Gandolfini, Edie Falco, Steven Van Zandt, Dominic Chianese, Robert Iler, Michael Imperioli, Nancy Marchand, Vincent Pastore, Jamie-Lynn Sigler, and Tony Sirico in The Sopranos (1999)",Markdown,Image,1999,2007.0,YearRange,9.2,461751,RatingsSummary,3300,Runtime,TV-MA,Certificate,True,CanRate,"[{'genre': {'text': 'Crime', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}, {'genre': {'text': 'Drama', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",Markdown,Plot,vi2793782553,Video,,Title,,
10,ChartTitleEdge,13,EpisodeConnection,Episodes,tt2395695,Cosmos: A Spacetime Odyssey,TitleText,tvMiniSeries,TV Mini Series,True,TV Mini Series,Markdown,DisplayableTitleTypeProperty,TitleType,Cosmos: A Spacetime Odyssey,TitleText,rm3026524416,600,889,https://m.media-amazon.com/images/M/MV5BZTk5OTQyZjYtMDk3Yy00YjhmLWE2MTYtZmY4NTg1YWUzZTQ0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,Cosmos: A Spacetime Odyssey (2014),Markdown,Image,2014,2014.0,YearRange,9.3,127454,RatingsSummary,33420,Runtime,TV-PG,Certificate,True,CanRate,"[{'genre': {'text': 'Documentary', '__typename': 'GenreItem'}, '__typename': 'TitleGenre'}]",TitleGenres,True,An exploration of our discovery of the laws of nature and coordinates in space and time.,Markdown,Plot,vi498974233,Video,,Title,,
