Imdb Rank,Title,Total Episode,Type,Mean Episode Rating,Mean Episode Rating Count,Global Rating,Global Rating Count,Duration (min),Genres,Start Year,End Year,url
1.0,Breaking Bad,62,TV Series,9.0,34995.0,9.5,2106387.0,45.0,"Crime ,Drama ,Thriller",2008,2013.0,https://www.imdb.com/title/tt0903747
2.0,Planet Earth II,6,TV Mini Series,9.0,3556.5,9.5,156311.0,298.0,Documentary,2016,2016.0,https://www.imdb.com/title/tt5491994
3.0,Planet Earth,11,TV Mini Series,8.8,3104.4,9.4,218687.0,538.0,"Documentary ,Family",2006,2006.0,https://www.imdb.com/title/tt0795176
4.0,Band of Brothers,10,TV Mini Series,9.0,9542.9,9.4,518235.0,594.0,"Drama ,History ,War",2001,2001.0,https://www.imdb.com/title/tt0185906
5.0,Chernobyl,5,TV Mini Series,9.5,52849.8,9.3,851248.0,330.0,"Drama ,History ,Thriller",2019,2019.0,https://www.imdb.com/title/tt7366338
6.0,The Wire,60,TV Series,8.6,4616.6,9.3,372513.0,59.0,"Crime ,Drama ,Thriller",2002,2008.0,https://www.imdb.com/title/tt0306414
7.0,Avatar: The Last Airbender,62,TV Series,8.6,5215.1,9.3,356635.0,23.0,"Animation ,Action ,Adventure",2005,2008.0,https://www.imdb.com/title/tt0417299
8.0,Blue Planet II,7,TV Mini Series,8.9,1150.7,9.3,45730.0,364.0,Documentary,2017,2017.0,https://www.imdb.com/title/tt6769208
9.0,The Sopranos,86,TV Series,8.6,7433.7,9.2,461751.0,55.0,"Crime ,Drama",1999,2007.0,https://www.imdb.com/title/tt0141842
10.0,Cosmos: A Spacetime Odyssey,13,TV Mini Series,9.0,2076.2,9.3,127454.0,557.0,Documentary,2014,2014.0,https://www.imdb.com/title/tt2395695
11.0,Cosmos,13,TV Mini Series,8.9,575.8,9.3,43536.0,780.0,Documentary,1980,1980.0,https://www.imdb.com/title/tt0081846
12.0,Our Planet,12,TV Series,8.9,1332.3,9.3,50166.0,50.0,Documentary,2019,2023.0,https://www.imdb.com/title/tt9253866
